test_date,test_timestamp,playername,team,leftMaxForce,rightMaxForce,leftTorque,rightTorque,accel_load_accum,distance_total,accel_distance_test_date,accel_distance_timestamp
2022-02-22,2022-02-22 15:29:44,PLAYER_719,Womens Soccer,218.5,233.25,87.50925,93.416625,381.569463,3098.615072,2022-08-07,2022-08-07 15:30:00
2022-02-22,2022-02-22 15:23:40,PLAYER_792,Womens Soccer,313.25,323.0,131.095125,135.1755,588.686582,4369.537313,2022-03-28,2022-03-28 12:30:00
2022-02-22,2022-02-22 15:19:22,PLAYER_897,Womens Soccer,258.25,272.25,110.401875,116.386875,589.88263,4141.855066,2022-03-28,2022-03-28 12:30:00
2022-02-28,2022-02-28 18:37:58,PLAYER_1114,Mens Soccer,346.0,380.75,147.915,162.770625,1432.331505,11415.13053,2022-03-22,2022-03-22 15:00:00
2022-02-28,2022-02-28 18:32:43,PLAYER_1191,Mens Soccer,373.75,406.25,142.959375,155.390625,1158.638706,8764.817812,2022-03-22,2022-03-22 15:00:00
2022-02-28,2022-02-28 18:39:08,PLAYER_137,Mens Soccer,400.0,374.0,174.6,163.251,1567.707459,11610.503947,2022-03-22,2022-03-22 15:00:00
2022-02-28,2022-02-28 18:30:20,PLAYER_310,Mens Soccer,337.75,342.0,156.547125,158.517,652.584137,3260.385675,2022-04-29,2022-04-29 21:30:00
2022-03-01,2022-03-01 13:36:14,PLAYER_205,Mens Soccer,416.75,449.5,166.908375,180.02475,252.381801,1501.736889,2022-04-29,2022-04-29 21:30:00
2022-03-07,2022-03-07 18:46:23,PLAYER_1114,Mens Soccer,344.75,413.0,147.380625,176.5575,1432.331505,11415.13053,2022-03-22,2022-03-22 15:00:00
2022-03-07,2022-03-07 18:48:05,PLAYER_1191,Mens Soccer,403.5,409.75,154.33875,156.729375,1158.638706,8764.817812,2022-03-22,2022-03-22 15:00:00
2022-03-07,2022-03-07 18:43:02,PLAYER_1196,Mens Soccer,388.75,447.0,183.684375,211.2075,11.934738,26.517179,2022-04-29,2022-04-29 21:30:00
2022-03-07,2022-03-07 18:40:17,PLAYER_137,Mens Soccer,379.75,374.5,165.760875,163.46925,1567.707459,11610.503947,2022-03-22,2022-03-22 15:00:00
2022-03-07,2022-03-07 18:52:44,PLAYER_310,Mens Soccer,377.0,403.0,174.7395,186.7905,652.584137,3260.385675,2022-04-29,2022-04-29 21:30:00
2022-03-07,2022-03-07 18:50:14,PLAYER_490,Mens Soccer,366.25,448.0,156.571875,191.52,1746.732815,13321.940883,2022-04-29,2022-04-29 21:30:00
2022-03-07,2022-03-07 18:51:36,PLAYER_617,Mens Soccer,398.75,448.5,184.820625,207.87975,941.564036,7265.07379,2022-04-29,2022-04-29 21:30:00
2022-03-08,2022-03-08 13:23:11,PLAYER_205,Mens Soccer,441.5,450.75,176.82075,180.525375,252.381801,1501.736889,2022-04-29,2022-04-29 21:30:00
2022-03-09,2022-03-09 13:19:09,PLAYER_1129,Football,417.75,445.25,201.146625,214.387875,468.943833,3917.452583,2023-06-16,2023-06-16 12:01:47
2022-03-24,2022-03-24 14:40:55,PLAYER_1129,Football,415.75,428.0,200.183625,206.082,468.943833,3917.452583,2023-06-16,2023-06-16 12:01:47
2022-03-28,2022-03-28 17:50:46,PLAYER_1114,Mens Soccer,364.0,360.5,155.61,154.11375,956.789052,8408.53184,2022-03-29,2022-03-29 15:00:00
2022-03-28,2022-03-28 17:46:53,PLAYER_1191,Mens Soccer,399.5,390.75,152.80875,149.461875,904.722403,6499.56588,2022-03-29,2022-03-29 15:00:00
2022-03-28,2022-03-28 17:36:08,PLAYER_1196,Mens Soccer,417.25,434.25,197.150625,205.183125,11.934738,26.517179,2022-04-29,2022-04-29 21:30:00
2022-03-28,2022-03-28 17:42:59,PLAYER_137,Mens Soccer,334.75,342.5,146.118375,149.50125,1293.561771,9177.054252,2022-03-29,2022-03-29 15:00:00
2022-03-28,2022-03-28 17:38:07,PLAYER_310,Mens Soccer,358.25,398.0,166.048875,184.473,652.584137,3260.385675,2022-04-29,2022-04-29 21:30:00
2022-03-28,2022-03-28 17:47:39,PLAYER_490,Mens Soccer,320.0,371.5,136.8,158.81625,1746.732815,13321.940883,2022-04-29,2022-04-29 21:30:00
2022-03-28,2022-03-28 17:37:16,PLAYER_617,Mens Soccer,435.0,435.25,201.6225,201.738375,941.564036,7265.07379,2022-04-29,2022-04-29 21:30:00
2022-03-29,2022-03-29 15:18:32,PLAYER_021,Football,317.5,364.25,138.58875,158.995125,484.978837,3776.19722,2023-06-16,2023-06-16 12:01:47
2022-04-18,2022-04-18 17:46:59,PLAYER_1114,Mens Soccer,388.75,364.0,166.190625,155.61,1014.398151,9076.436316,2022-04-19,2022-04-19 15:00:16
2022-04-18,2022-04-18 17:45:07,PLAYER_1191,Mens Soccer,380.75,343.25,145.636875,131.293125,1030.823302,7489.840755,2022-04-19,2022-04-19 15:00:16
2022-04-18,2022-04-18 17:41:30,PLAYER_1196,Mens Soccer,419.0,428.0,197.9775,202.23,11.934738,26.517179,2022-04-29,2022-04-29 21:30:00
2022-04-18,2022-04-18 17:37:14,PLAYER_137,Mens Soccer,381.5,392.0,166.52475,171.108,1468.852034,10482.1653,2022-04-19,2022-04-19 15:00:16
2022-04-18,2022-04-18 17:49:31,PLAYER_310,Mens Soccer,353.25,377.5,163.731375,174.97125,652.584137,3260.385675,2022-04-29,2022-04-29 21:30:00
2022-04-18,2022-04-18 17:40:06,PLAYER_490,Mens Soccer,344.25,377.5,147.166875,161.38125,1746.732815,13321.940883,2022-04-29,2022-04-29 21:30:00
2022-04-18,2022-04-18 17:42:50,PLAYER_617,Mens Soccer,441.0,450.75,204.4035,208.922625,941.564036,7265.07379,2022-04-29,2022-04-29 21:30:00
2022-04-20,2022-04-20 17:39:03,PLAYER_205,Mens Soccer,431.75,435.25,172.915875,174.317625,252.381801,1501.736889,2022-04-29,2022-04-29 21:30:00
2022-04-27,2022-04-27 14:35:07,PLAYER_218,Womens Soccer,315.5,311.25,126.35775,124.655625,717.353435,5088.881291,2022-04-28,2022-04-28 13:30:00
2022-04-27,2022-04-27 14:59:06,PLAYER_792,Womens Soccer,311.5,311.75,130.36275,130.467375,526.174615,3802.702257,2022-04-28,2022-04-28 13:30:00
2022-04-27,2022-04-27 14:54:12,PLAYER_897,Womens Soccer,299.25,280.75,125.236125,117.493875,597.748939,3861.187691,2022-04-28,2022-04-28 13:30:00
2022-05-27,2022-05-27 14:53:50,PLAYER_1129,Football,432.0,437.25,208.008,210.535875,468.943833,3917.452583,2023-06-16,2023-06-16 12:01:47
2022-06-15,2022-06-15 16:39:15,PLAYER_1128,Womens Basketball,318.25,276.5,138.916125,120.69225,585.125301,4057.512973,2022-07-14,2022-07-14 12:52:40
2022-06-17,2022-06-17 14:57:08,PLAYER_1129,Football,426.25,442.5,205.239375,213.06375,468.943833,3917.452583,2023-06-16,2023-06-16 12:01:47
2022-06-30,2022-06-30 15:48:48,PLAYER_1128,Womens Basketball,292.75,255.75,127.785375,111.634875,585.125301,4057.512973,2022-07-14,2022-07-14 12:52:40
2022-07-01,2022-07-01 14:56:16,PLAYER_1129,Football,437.75,430.75,210.776625,207.406125,468.943833,3917.452583,2023-06-16,2023-06-16 12:01:47
2022-07-06,2022-07-06 18:29:48,PLAYER_1186,Mens Basketball,304.5,296.5,149.35725,145.43325,537.925605,3756.899822,2022-07-07,2022-07-07 16:30:00
2022-07-06,2022-07-06 18:34:05,PLAYER_755,Mens Basketball,320.5,274.5,171.62775,146.99475,417.98176,3225.979967,2022-07-07,2022-07-07 16:30:00
2022-07-07,2022-07-07 13:58:59,PLAYER_093,Football,515.75,531.25,234.408375,241.453125,524.268007,4534.408223,2023-06-16,2023-06-16 12:01:47
2022-07-07,2022-07-07 13:53:45,PLAYER_567,Football,491.0,494.5,240.8355,242.55225,522.974309,4682.977612,2023-06-16,2023-06-16 12:01:47
2022-07-08,2022-07-08 15:41:37,PLAYER_021,Football,464.5,465.25,202.75425,203.081625,484.978837,3776.19722,2023-06-16,2023-06-16 12:01:47
2022-07-15,2022-07-15 15:44:47,PLAYER_021,Football,462.25,446.0,201.772125,194.679,484.978837,3776.19722,2023-06-16,2023-06-16 12:01:47
2022-07-15,2022-07-15 15:09:31,PLAYER_1129,Football,423.5,439.25,203.91525,211.498875,468.943833,3917.452583,2023-06-16,2023-06-16 12:01:47
2022-07-18,2022-07-18 11:58:11,PLAYER_218,Womens Soccer,290.5,296.0,116.34525,118.548,241.434877,2067.328672,2022-07-19,2022-07-19 11:00:00
2022-07-18,2022-07-18 12:10:24,PLAYER_745,Womens Soccer,255.25,298.25,88.444125,103.343625,284.268967,3744.723062,2022-07-19,2022-07-19 11:00:00
2022-07-18,2022-07-18 12:00:02,PLAYER_792,Womens Soccer,306.5,299.0,128.27025,125.1315,197.131001,1751.973497,2022-08-02,2022-08-02 11:10:20
2022-07-18,2022-07-18 12:07:42,PLAYER_796,Womens Soccer,318.5,256.0,116.09325,93.312,238.293356,2518.060905,2022-07-28,2022-07-28 11:00:00
2022-07-19,2022-07-19 18:44:44,PLAYER_1186,Mens Basketball,376.75,357.25,174.623625,165.585375,452.263806,3091.091899,2022-07-20,2022-07-20 17:00:38
2022-07-19,2022-07-19 18:34:10,PLAYER_557,Mens Basketball,346.5,335.5,160.60275,155.50425,448.703043,2949.698147,2022-07-20,2022-07-20 17:00:38
2022-07-19,2022-07-19 18:32:53,PLAYER_755,Mens Basketball,337.5,279.75,180.73125,149.806125,468.49732,3833.345638,2022-07-20,2022-07-20 17:00:38
2022-07-19,2022-07-19 12:24:25,PLAYER_084,Womens Soccer,143.75,164.25,60.159375,68.738625,255.025142,2627.716734,2022-07-28,2022-07-28 11:00:00
2022-07-19,2022-07-19 12:19:05,PLAYER_1094,Womens Soccer,271.25,277.75,115.959375,118.738125,243.376218,2643.518713,2022-07-28,2022-07-28 11:00:00
2022-07-19,2022-07-19 12:23:10,PLAYER_115,Womens Soccer,147.5,165.25,63.05625,70.644375,289.118057,2923.970895,2022-07-28,2022-07-28 11:00:00
2022-07-19,2022-07-19 12:12:27,PLAYER_457,Womens Soccer,305.5,346.0,125.10225,141.687,242.962116,2500.187656,2022-07-28,2022-07-28 11:00:00
2022-07-19,2022-07-19 12:20:39,PLAYER_685,Womens Soccer,260.5,276.25,109.01925,115.610625,279.378717,2941.818682,2022-07-28,2022-07-28 11:00:00
2022-07-19,2022-07-19 12:25:43,PLAYER_780,Womens Soccer,382.0,364.75,180.495,172.344375,280.53544,2725.057475,2022-07-28,2022-07-28 11:00:00
2022-07-19,2022-07-19 12:10:16,PLAYER_896,Womens Soccer,336.0,347.75,167.832,173.701125,227.029773,2051.967993,2022-07-28,2022-07-28 11:00:00
2022-07-19,2022-07-19 12:17:29,PLAYER_944,Womens Soccer,285.0,311.25,109.0125,119.053125,282.737868,2947.381843,2022-07-28,2022-07-28 11:00:00
2022-07-22,2022-07-22 13:28:18,PLAYER_093,Football,508.5,512.0,231.11325,232.704,524.268007,4534.408223,2023-06-16,2023-06-16 12:01:47
2022-07-22,2022-07-22 13:24:30,PLAYER_567,Football,559.0,518.25,274.1895,254.201625,522.974309,4682.977612,2023-06-16,2023-06-16 12:01:47
2022-07-22,2022-07-22 14:49:32,PLAYER_755,Mens Basketball,220.5,244.5,118.07775,130.92975,323.409289,2656.400155,2022-07-26,2022-07-26 19:30:00
2022-07-28,2022-07-28 12:24:19,PLAYER_084,Womens Soccer,208.0,217.5,87.048,91.02375,365.091954,3237.852429,2022-07-29,2022-07-29 11:00:01
2022-07-28,2022-07-28 12:21:41,PLAYER_115,Womens Soccer,156.75,149.25,67.010625,63.804375,343.695659,3269.704852,2022-07-29,2022-07-29 11:00:01
2022-07-28,2022-07-28 12:19:43,PLAYER_745,Womens Soccer,256.5,306.5,88.87725,106.20225,320.161044,3542.627524,2022-07-29,2022-07-29 11:00:01
2022-08-01,2022-08-01 14:35:41,PLAYER_021,Football,465.25,535.0,203.081625,233.5275,484.978837,3776.19722,2023-06-16,2023-06-16 12:01:47
2022-08-01,2022-08-01 14:30:42,PLAYER_1129,Football,456.5,448.25,219.80475,215.832375,468.943833,3917.452583,2023-06-16,2023-06-16 12:01:47
2022-08-01,2022-08-01 17:52:15,PLAYER_1128,Womens Basketball,331.0,296.5,144.4815,129.42225,659.15051,4908.17598,2022-08-02,2022-08-02 14:00:00
2022-08-05,2022-08-05 13:14:53,PLAYER_084,Womens Soccer,214.75,218.25,89.872875,91.337625,649.551685,5735.73267,2022-08-06,2022-08-06 11:20:06
2022-08-05,2022-08-05 13:17:13,PLAYER_1094,Womens Soccer,307.75,278.0,131.563125,118.845,559.32714,5342.872273,2022-08-06,2022-08-06 11:20:06
2022-08-05,2022-08-05 13:16:10,PLAYER_115,Womens Soccer,219.75,187.5,93.943125,80.15625,662.436401,6234.584147,2022-08-06,2022-08-06 11:20:06
2022-08-05,2022-08-05 13:34:12,PLAYER_218,Womens Soccer,309.0,282.75,123.7545,113.241375,578.541097,4889.201909,2022-08-06,2022-08-06 11:20:06
2022-08-05,2022-08-05 13:27:31,PLAYER_457,Womens Soccer,289.25,358.0,118.447875,146.601,484.044708,4256.035581,2022-08-06,2022-08-06 11:20:06
2022-08-05,2022-08-05 13:36:38,PLAYER_745,Womens Soccer,265.25,300.5,91.909125,104.12325,552.46428,5716.47601,2022-08-06,2022-08-06 11:20:06
2022-08-05,2022-08-05 13:20:35,PLAYER_780,Womens Soccer,272.5,299.0,128.75625,141.2775,542.64013,4835.852357,2022-08-06,2022-08-06 11:20:06
2022-08-05,2022-08-05 13:29:32,PLAYER_792,Womens Soccer,301.0,296.0,125.9685,123.876,572.404429,4776.019768,2022-08-06,2022-08-06 11:20:06
2022-08-05,2022-08-05 13:31:12,PLAYER_944,Womens Soccer,274.5,270.0,104.99625,103.275,578.227437,5296.140764,2022-08-06,2022-08-06 11:20:06
2022-08-06,2022-08-06 13:25:11,PLAYER_685,Womens Soccer,228.75,235.0,95.731875,98.3475,734.79366,7337.570374,2022-08-06,2022-08-06 19:30:00
2022-08-06,2022-08-06 13:28:08,PLAYER_896,Womens Soccer,332.75,348.75,166.208625,174.200625,680.312263,5646.710446,2022-08-06,2022-08-06 19:30:00
2022-08-08,2022-08-08 18:29:49,PLAYER_1186,Mens Basketball,396.25,360.0,183.661875,166.86,458.275389,3069.331458,2022-08-09,2022-08-09 17:15:13
2022-08-08,2022-08-08 18:32:48,PLAYER_557,Mens Basketball,350.75,310.5,162.572625,143.91675,424.515848,2711.291673,2022-08-09,2022-08-09 17:15:13
2022-08-08,2022-08-08 18:25:06,PLAYER_755,Mens Basketball,364.0,302.75,194.922,162.122625,468.872242,3635.718122,2022-08-09,2022-08-09 17:15:13
2022-08-10,2022-08-10 14:44:57,PLAYER_1077,Mens Soccer,333.5,328.75,124.56225,122.788125,898.529934,7150.743258,2022-08-10,2022-08-10 20:30:00
2022-08-10,2022-08-10 14:46:39,PLAYER_1114,Mens Soccer,373.5,397.0,159.67125,169.7175,694.137094,6242.936397,2022-08-10,2022-08-10 20:30:00
2022-08-10,2022-08-10 14:31:12,PLAYER_1191,Mens Soccer,409.0,390.25,156.4425,149.270625,973.525312,7597.785078,2022-08-10,2022-08-10 20:30:00
2022-08-10,2022-08-10 14:34:08,PLAYER_1196,Mens Soccer,413.0,419.75,195.1425,198.331875,865.815047,6979.529099,2022-08-10,2022-08-10 20:30:00
2022-08-10,2022-08-10 14:33:10,PLAYER_137,Mens Soccer,312.25,323.5,136.297125,141.20775,785.558018,6738.825286,2022-08-10,2022-08-10 20:30:00
2022-08-10,2022-08-10 14:29:24,PLAYER_490,Mens Soccer,373.25,416.75,159.564375,178.160625,386.836376,3826.792212,2023-08-08,2023-08-08 14:24:35
2022-08-10,2022-08-10 14:28:34,PLAYER_617,Mens Soccer,476.75,502.75,220.973625,233.024625,665.401235,4808.492595,2022-08-10,2022-08-10 20:30:00
2022-08-10,2022-08-10 14:41:00,PLAYER_902,Mens Soccer,282.0,366.5,115.479,150.08175,712.139796,5838.108675,2022-08-10,2022-08-10 20:30:00
2022-08-10,2022-08-10 14:42:55,PLAYER_964,Mens Soccer,392.25,480.25,174.747375,213.951375,414.036005,3889.510671,2023-08-08,2023-08-08 14:24:35
2022-08-12,2022-08-12 13:27:11,PLAYER_115,Womens Soccer,219.0,209.75,89.6805,85.892625,798.139552,7453.287358,2022-08-12,2022-08-12 18:25:00
2022-08-12,2022-08-12 13:21:51,PLAYER_457,Womens Soccer,317.5,336.0,130.01625,137.592,674.325983,6108.188583,2022-08-12,2022-08-12 18:25:00
2022-08-12,2022-08-12 13:23:18,PLAYER_745,Womens Soccer,248.25,263.25,86.018625,91.216125,672.689901,6705.646941,2022-08-12,2022-08-12 18:25:00
2022-08-16,2022-08-16 19:54:37,PLAYER_021,Football,403.5,455.5,176.12775,198.82575,484.978837,3776.19722,2023-06-16,2023-06-16 12:01:47
2022-08-16,2022-08-16 20:08:57,PLAYER_093,Football,511.75,493.75,232.590375,224.409375,524.268007,4534.408223,2023-06-16,2023-06-16 12:01:47
2022-08-16,2022-08-16 20:04:01,PLAYER_1129,Football,315.75,273.0,152.033625,131.4495,468.943833,3917.452583,2023-06-16,2023-06-16 12:01:47
2022-08-16,2022-08-16 20:46:59,PLAYER_567,Football,553.0,485.5,271.2465,238.13775,522.974309,4682.977612,2023-06-16,2023-06-16 12:01:47
2022-08-22,2022-08-22 12:41:16,PLAYER_1186,Mens Basketball,372.0,355.5,172.422,164.77425,609.516654,4025.847815,2022-08-29,2022-08-29 17:00:00
2022-08-22,2022-08-22 12:34:03,PLAYER_557,Mens Basketball,470.0,438.0,217.845,203.013,467.247783,3507.723246,2022-08-29,2022-08-29 17:00:00
2022-08-22,2022-08-22 12:32:45,PLAYER_755,Mens Basketball,331.75,315.0,177.652125,168.6825,417.024946,2960.00518,2022-08-29,2022-08-29 17:00:00
2022-08-24,2022-08-24 17:07:40,PLAYER_1128,Womens Basketball,342.0,274.0,149.283,119.601,679.00001,5504.545007,2022-08-26,2022-08-26 15:00:00
2022-08-30,2022-08-30 18:00:24,PLAYER_084,Womens Soccer,268.0,282.25,112.158,118.121625,877.316839,8400.18378,2022-09-01,2022-09-01 15:30:00
2022-08-30,2022-08-30 17:59:14,PLAYER_1094,Womens Soccer,305.5,294.25,130.60125,125.791875,672.486328,6195.01356,2022-09-01,2022-09-01 15:30:00
2022-08-30,2022-08-30 17:57:59,PLAYER_115,Womens Soccer,236.25,226.0,96.744375,92.547,1305.788523,14507.894464,2022-09-01,2022-09-01 15:30:00
2022-08-30,2022-08-30 18:16:54,PLAYER_218,Womens Soccer,311.75,295.5,124.855875,118.34775,1267.852907,12471.702428,2022-09-01,2022-09-01 15:30:00
2022-08-30,2022-08-30 18:12:35,PLAYER_457,Womens Soccer,335.5,331.0,137.38725,135.5445,604.284078,5338.408555,2022-09-01,2022-09-01 15:30:00
2022-08-30,2022-08-30 18:21:41,PLAYER_685,Womens Soccer,256.75,239.5,107.449875,100.23075,766.607248,7394.604556,2022-09-01,2022-09-01 15:30:00
2022-08-30,2022-08-30 18:05:40,PLAYER_745,Womens Soccer,236.0,296.0,81.774,102.564,377.395521,2904.245005,2022-09-02,2022-09-02 15:55:00
2022-08-30,2022-08-30 18:04:20,PLAYER_780,Womens Soccer,388.0,371.5,183.33,175.53375,1182.611342,11607.076965,2022-09-01,2022-09-01 15:30:00
2022-08-30,2022-08-30 18:08:55,PLAYER_792,Womens Soccer,303.0,295.0,126.8055,123.4575,699.921036,5993.738193,2022-09-01,2022-09-01 15:30:00
2022-08-30,2022-08-30 18:15:30,PLAYER_896,Womens Soccer,360.5,373.5,180.06975,186.56325,1043.332631,10932.300995,2022-09-01,2022-09-01 15:30:00
2022-09-02,2022-09-02 17:46:53,PLAYER_745,Womens Soccer,245.5,307.25,85.06575,106.462125,414.423924,4290.341546,2022-09-03,2022-09-03 13:05:00
2022-09-02,2022-09-02 17:46:01,PLAYER_796,Womens Soccer,295.5,215.75,107.70975,78.640875,386.082295,4175.10035,2022-10-11,2022-10-11 16:00:00
2022-09-02,2022-09-02 17:48:53,PLAYER_944,Womens Soccer,268.25,282.0,102.605625,107.865,441.470393,4158.846329,2022-09-03,2022-09-03 13:05:00
2022-09-07,2022-09-07 12:05:54,PLAYER_719,Womens Soccer,204.0,112.0,81.702,44.856,295.800587,3294.62303,2022-10-14,2022-10-14 16:20:00
2022-09-09,2022-09-09 12:34:17,PLAYER_1186,Mens Basketball,380.25,368.5,176.245875,170.79975,613.127368,4336.0581,2022-09-09,2022-09-09 17:00:00
