test_date,test_timestamp,playername,team,leftMaxForce,rightMaxForce,avg_max_force_asymmetry,leftTorque,rightTorque,avg_torque_asymmetry,accel_load_accum,distance_total,accel_distance_test_date,accel_distance_timestamp
2022-03-28,2022-03-28 17:50:46,PLAYER_1114,Mens Soccer,364.0,360.5,0.4830917874396135,155.61,154.11375,0.4830917874396146,901.433741,7487.268712,2022-03-28,2022-03-28 15:00:01
2022-03-28,2022-03-28 17:46:53,PLAYER_1191,Mens Soccer,399.5,390.75,1.1072445428661817,152.80875,149.461875,1.1072445428661855,989.73926,7667.276983,2022-03-28,2022-03-28 15:00:01
2022-03-28,2022-03-28 17:42:59,PLAYER_137,Mens Soccer,334.75,342.5,-1.1443337024732374,146.118375,149.50125,-1.1443337024732416,1186.663474,9503.898488,2022-03-28,2022-03-28 15:00:01
2022-04-18,2022-04-18 17:46:59,PLAYER_1114,Mens Soccer,388.75,364.0,3.2879442045831953,166.190625,155.61,3.287944204583194,929.730252,8413.833478,2022-04-18,2022-04-18 15:00:00
2022-04-18,2022-04-18 17:45:07,PLAYER_1191,Mens Soccer,380.75,343.25,5.179558011049724,145.636875,131.293125,5.179558011049724,1051.036222,8082.926256,2022-04-18,2022-04-18 15:00:00
2022-04-18,2022-04-18 17:37:14,PLAYER_137,Mens Soccer,381.5,392.0,-1.3574660633484164,166.52475,171.108,-1.3574660633484141,1484.18129,10297.780792,2022-04-18,2022-04-18 15:00:00
2022-04-27,2022-04-27 14:35:07,PLAYER_218,Womens Soccer,315.5,311.25,0.6781013163143199,126.35775,124.655625,0.678101316314318,859.095875,7275.972821,2022-04-27,2022-04-27 12:30:00
2022-04-27,2022-04-27 14:59:06,PLAYER_792,Womens Soccer,311.5,311.75,-0.04011231448054552,130.36275,130.467375,-0.040112314480545,471.254341,3642.302653,2022-04-27,2022-04-27 12:30:00
2022-04-27,2022-04-27 14:54:12,PLAYER_897,Womens Soccer,299.25,280.75,3.189655172413793,125.236125,117.493875,3.1896551724137927,730.646382,5433.680416,2022-04-27,2022-04-27 12:30:00
2022-07-06,2022-07-06 18:29:48,PLAYER_1186,Mens Basketball,304.5,296.5,1.3311148086522462,149.35725,145.43325,1.3311148086522486,485.768655,3285.455968,2022-07-06,2022-07-06 16:30:00
2022-07-06,2022-07-06 18:34:05,PLAYER_755,Mens Basketball,320.5,274.5,7.73109243697479,171.62775,146.99475,7.731092436974785,406.633599,3201.765947,2022-07-06,2022-07-06 16:30:00
2022-07-19,2022-07-19 18:44:44,PLAYER_1186,Mens Basketball,376.75,357.25,2.656675749318801,174.623625,165.585375,2.6566757493188025,483.78681,3290.976431,2022-07-19,2022-07-19 11:00:30
2022-07-19,2022-07-19 18:34:10,PLAYER_557,Mens Basketball,346.5,335.5,1.6129032258064515,160.60275,155.50425,1.6129032258064433,443.385269,3003.386075,2022-07-19,2022-07-19 11:00:30
2022-07-19,2022-07-19 18:32:53,PLAYER_755,Mens Basketball,337.5,279.75,9.356014580801943,180.73125,149.806125,9.356014580801938,417.514201,3215.584996,2022-07-19,2022-07-19 11:00:30
2022-07-28,2022-07-28 12:24:19,PLAYER_084,Womens Soccer,208.0,217.5,-2.2326674500587544,87.048,91.02375,-2.232667450058757,255.025142,2627.716734,2022-07-28,2022-07-28 11:00:00
2022-07-28,2022-07-28 12:21:41,PLAYER_115,Womens Soccer,156.75,149.25,2.450980392156863,67.010625,63.804375,2.450980392156866,289.118057,2923.970895,2022-07-28,2022-07-28 11:00:00
2022-07-28,2022-07-28 12:19:43,PLAYER_745,Womens Soccer,256.5,306.5,-8.880994671403197,88.87725,106.20225,-8.880994671403199,258.238695,2997.037767,2022-07-28,2022-07-28 11:00:00
2022-08-05,2022-08-05 13:14:53,PLAYER_084,Womens Soccer,214.75,218.25,-0.8083140877598153,89.872875,91.337625,-0.8083140877598203,684.494999,5798.128043,2022-08-05,2022-08-05 11:30:20
2022-08-05,2022-08-05 13:17:13,PLAYER_1094,Womens Soccer,307.75,278.0,5.078958600085361,131.563125,118.845,5.078958600085366,669.547111,5734.38072,2022-08-05,2022-08-05 11:30:20
2022-08-05,2022-08-05 13:16:10,PLAYER_115,Womens Soccer,219.75,187.5,7.918968692449356,93.943125,80.15625,7.918968692449352,622.609164,5533.685241,2022-08-05,2022-08-05 11:30:20
2022-08-05,2022-08-05 13:34:12,PLAYER_218,Womens Soccer,309.0,282.75,4.435994930291509,123.7545,113.241375,4.4359949302915025,631.374861,4634.460948,2022-08-05,2022-08-05 11:30:20
2022-08-05,2022-08-05 13:27:31,PLAYER_457,Womens Soccer,289.25,358.0,-10.621861722672847,118.447875,146.601,-10.621861722672847,576.383435,4541.783632,2022-08-05,2022-08-05 11:30:20
2022-08-05,2022-08-05 13:36:38,PLAYER_745,Womens Soccer,265.25,300.5,-6.230667255855059,91.909125,104.12325,-6.2306672558550575,711.511585,6695.136186,2022-08-05,2022-08-05 11:30:20
2022-08-05,2022-08-05 13:20:35,PLAYER_780,Womens Soccer,272.5,299.0,-4.636920384951881,128.75625,141.2775,-4.6369203849518845,594.02957,4684.950291,2022-08-05,2022-08-05 11:30:20
2022-08-05,2022-08-05 13:29:32,PLAYER_792,Womens Soccer,301.0,296.0,0.8375209380234505,125.9685,123.876,0.8375209380234511,583.836944,4520.609911,2022-08-05,2022-08-05 11:30:20
2022-08-05,2022-08-05 13:31:12,PLAYER_944,Womens Soccer,274.5,270.0,0.8264462809917356,104.99625,103.275,0.8264462809917343,646.436049,5475.958334,2022-08-05,2022-08-05 11:30:20
2022-08-06,2022-08-06 13:25:11,PLAYER_685,Womens Soccer,228.75,235.0,-1.3477088948787064,95.731875,98.3475,-1.3477088948787033,656.023142,6338.212529,2022-08-06,2022-08-06 11:20:06
2022-08-06,2022-08-06 13:28:08,PLAYER_896,Womens Soccer,332.75,348.75,-2.347762289068232,166.208625,174.200625,-2.347762289068229,495.710779,3732.574485,2022-08-06,2022-08-06 11:20:06
2022-08-08,2022-08-08 18:29:49,PLAYER_1186,Mens Basketball,396.25,360.0,4.793388429752066,183.661875,166.86,4.793388429752064,526.231234,3304.62976,2022-08-08,2022-08-08 17:00:00
2022-08-08,2022-08-08 18:32:48,PLAYER_557,Mens Basketball,350.75,310.5,6.086956521739131,162.572625,143.91675,6.086956521739125,438.616377,2966.689712,2022-08-08,2022-08-08 17:00:00
2022-08-08,2022-08-08 18:25:06,PLAYER_755,Mens Basketball,364.0,302.75,9.186351706036746,194.922,162.122625,9.186351706036746,416.037755,3147.750203,2022-08-08,2022-08-08 17:00:00
2022-08-10,2022-08-10 14:44:57,PLAYER_1077,Mens Soccer,333.5,328.75,0.7172517931294828,124.56225,122.788125,0.7172517931294877,898.529934,7150.743258,2022-08-10,2022-08-10 20:30:00
2022-08-10,2022-08-10 14:46:39,PLAYER_1114,Mens Soccer,373.5,397.0,-3.049967553536664,159.67125,169.7175,-3.049967553536669,694.137094,6242.936397,2022-08-10,2022-08-10 20:30:00
