metric,record_count,team
leftAvgForce,3722,Womens Soccer
leftMaxForce,3722,Womens Soccer
leftImpulse,3719,Womens Soccer
rightAvgForce,3719,Womens Soccer
rightMaxForce,3719,Womens Soccer
rightImpulse,3714,Womens Soccer
leftTorque,3679,Womens Soccer
rightTorque,3676,Womens Soccer
rightRepetitions,3662,Womens Soccer
leftRepetitions,3654,Womens Soccer
