,playername,timestamp,accel_load_accum,distance_total
93,PLAYER_690,2022-02-04 18:12:00,467.772532,3023.324284
94,PLAYER_690,2022-02-07 20:00:14,582.472195,3917.37286
95,PLAYER_690,2022-02-08 15:30:04,546.435538,3763.427337
96,PLAYER_690,2022-02-10 19:40:15,413.642449,2659.435074
97,PLAYER_690,2022-02-11 17:55:00,643.227004,4238.206715
98,PLAYER_690,2022-02-13 17:28:00,367.270215,2645.399095
99,PLAYER_690,2022-02-18 15:22:00,586.531029,3962.170029
100,PLAYER_690,2022-02-21 18:00:00,687.523548,4572.088629
101,PLAYER_690,2022-02-22 19:45:00,465.387253,3097.994214
102,PLAYER_690,2022-02-24 19:40:00,529.35754,3411.157243
103,PLAYER_690,2022-02-25 17:35:44,507.11705,3540.876658
104,PLAYER_690,2022-03-02 18:25:13,595.955189,4033.837001
105,PLAYER_690,2022-03-03 20:05:00,758.437877,5133.333345
106,PLAYER_690,2022-03-04 17:49:52,740.476844,5203.069424
107,PLAYER_690,2022-03-07 17:30:00,294.064961,1788.880444
108,PLAYER_690,2022-03-08 18:59:22,735.622714,5235.478887
109,PLAYER_690,2022-03-09 17:30:00,430.824336,2964.078506
110,PLAYER_690,2022-03-10 19:01:30,1009.125995,6917.039318
111,PLAYER_690,2022-03-13 22:00:00,752.368985,5004.490529
112,PLAYER_690,2022-03-14 16:00:40,694.488047,4621.898398
113,PLAYER_690,2022-03-16 16:00:00,684.419996,4585.017223
114,PLAYER_690,2022-07-14 12:52:40,589.007293,3870.193637
115,PLAYER_690,2022-07-18 10:50:00,300.05869,1807.757415
116,PLAYER_690,2022-07-29 12:51:06,563.711652,3594.749407
117,PLAYER_690,2022-08-02 14:00:00,626.00718,4418.847697
118,PLAYER_690,2022-08-22 14:50:00,678.482338,4898.889726
119,PLAYER_690,2022-08-23 12:50:00,472.540673,2928.129333
120,PLAYER_690,2022-08-25 11:50:00,377.554344,2258.664145
121,PLAYER_690,2022-08-26 15:00:00,657.613267,4820.953275
122,PLAYER_690,2022-08-29 14:50:00,614.088921,4902.044075
123,PLAYER_690,2022-08-30 11:50:00,535.999553,3637.460278
124,PLAYER_690,2022-09-01 12:50:00,778.461873,5606.854195
125,PLAYER_690,2022-09-02 12:30:00,637.188566,3809.623749
126,PLAYER_690,2022-09-06 12:50:00,475.397408,3104.174358
127,PLAYER_690,2022-09-07 14:30:00,825.1298,6337.955128
128,PLAYER_690,2022-09-08 12:50:00,771.514665,5307.291828
129,PLAYER_690,2022-09-09 14:50:00,535.229827,3746.510223
130,PLAYER_690,2022-09-12 14:20:00,655.67834,4472.499839
131,PLAYER_690,2022-09-13 12:50:00,757.313192,5148.27609
132,PLAYER_690,2022-09-14 13:50:00,391.101907,2518.059042
133,PLAYER_690,2022-09-15 13:50:00,802.394597,5430.247944
134,PLAYER_690,2022-09-16 12:50:00,724.317547,4983.083512
135,PLAYER_690,2022-09-19 14:20:00,598.905273,4056.086629
136,PLAYER_690,2022-09-20 12:50:00,627.558425,4401.497548
137,PLAYER_690,2022-09-21 15:00:00,446.323474,3153.402731
138,PLAYER_690,2022-09-22 12:50:00,77.643894,464.657203
139,PLAYER_690,2022-09-23 14:00:00,389.659927,2552.42897
140,PLAYER_690,2022-09-26 12:50:28,973.424678,6221.183647
141,PLAYER_690,2022-09-27 12:51:50,894.09581,6279.531394
142,PLAYER_690,2022-09-28 12:51:07,659.021498,4782.665952
143,PLAYER_690,2022-09-29 12:50:07,888.530334,6086.472251
144,PLAYER_690,2022-09-30 12:50:00,1017.263833,7121.899158
145,PLAYER_690,2022-10-02 19:16:57,806.189296,6094.535819
146,PLAYER_690,2022-10-03 12:50:00,807.902518,5939.121634
147,PLAYER_690,2022-10-05 12:50:17,849.191282,6025.892537
148,PLAYER_690,2022-10-06 12:50:18,680.370299,4580.412727
149,PLAYER_690,2022-10-07 12:50:00,964.197672,6761.238197
150,PLAYER_690,2022-10-12 13:15:25,848.238883,6031.796845
151,PLAYER_690,2022-10-19 12:49:45,515.744977,2953.688475
152,PLAYER_690,2022-10-21 13:20:00,657.012425,4138.766226
153,PLAYER_690,2022-10-22 12:45:00,700.109549,4675.21647
154,PLAYER_690,2022-10-25 13:21:01,667.663047,4533.488225
155,PLAYER_690,2022-10-26 13:10:14,749.829129,5185.356202
156,PLAYER_690,2022-10-28 12:49:57,593.567866,4095.884773
157,PLAYER_690,2022-10-29 16:50:17,617.782408,4395.558788
158,PLAYER_690,2022-10-30 13:20:01,544.854133,4066.967787
159,PLAYER_690,2022-11-01 12:50:00,556.0956,4191.765507
160,PLAYER_690,2022-11-02 14:00:00,406.158045,2616.454869
161,PLAYER_690,2022-11-03 21:50:00,692.824882,4723.245499
162,PLAYER_690,2022-11-05 14:50:00,507.967892,3448.025484
163,PLAYER_690,2022-11-06 13:50:00,399.514864,2741.385793
164,PLAYER_690,2022-11-07 19:11:00,732.386922,4747.736326
165,PLAYER_690,2022-11-08 16:00:00,567.271847,4102.891097
166,PLAYER_690,2022-11-09 15:00:00,446.33367,3136.909452
167,PLAYER_690,2022-11-10 22:10:00,752.852654,5176.718804
168,PLAYER_690,2022-11-12 18:00:00,538.226156,3888.273821
169,PLAYER_690,2022-11-13 15:30:00,403.354599,2796.060424
170,PLAYER_690,2022-11-14 22:20:00,844.175473,5741.150356
171,PLAYER_690,2022-11-16 14:48:00,585.02233,4625.04644
172,PLAYER_690,2022-11-17 13:49:00,670.415587,4867.015999
173,PLAYER_690,2022-11-18 15:00:00,498.329502,3517.252598
174,PLAYER_690,2022-11-19 17:45:00,729.286644,5247.622221
175,PLAYER_690,2022-11-21 15:05:00,97.058531,648.399044
176,PLAYER_690,2022-11-22 21:20:00,432.201641,3111.659752
177,PLAYER_690,2022-11-23 17:30:00,632.385294,4545.441402
178,PLAYER_690,2022-11-24 17:45:00,712.688019,5274.159908
179,PLAYER_690,2022-11-27 15:30:00,614.572958,4772.532897
180,PLAYER_690,2022-11-29 13:50:00,571.781326,4157.863071
181,PLAYER_690,2022-11-30 14:58:00,451.003504,3208.975181
182,PLAYER_690,2022-12-01 22:30:00,769.564794,5101.800625
183,PLAYER_690,2022-12-02 18:25:00,323.063143,2251.730111
184,PLAYER_690,2022-12-03 17:30:00,836.083555,6010.36534
185,PLAYER_690,2022-12-05 14:50:00,665.474418,4656.416473
186,PLAYER_690,2022-12-06 14:50:00,440.594046,3400.518738
187,PLAYER_690,2022-12-07 22:30:00,970.662353,7181.751849
188,PLAYER_690,2022-12-08 15:20:00,117.923147,990.411281
189,PLAYER_690,2022-12-09 18:10:00,422.656219,3145.248245
190,PLAYER_690,2022-12-10 17:40:00,784.018266,5922.728458
191,PLAYER_690,2022-12-13 12:50:00,342.701048,2638.535199
192,PLAYER_690,2022-12-15 14:30:00,570.753888,4393.559382
193,PLAYER_690,2022-12-16 13:50:00,738.797353,5596.344808
194,PLAYER_690,2022-12-17 14:50:00,494.093031,4021.131857
195,PLAYER_690,2022-12-19 14:50:00,672.964261,5000.548119
196,PLAYER_690,2022-12-20 14:00:00,526.150919,3953.944382
197,PLAYER_690,2022-12-21 17:45:00,930.600828,7029.819183
198,PLAYER_690,2022-12-29 14:00:00,438.796374,3107.899391
199,PLAYER_690,2022-12-30 21:55:00,671.180014,4733.115851
200,PLAYER_690,2022-12-31 17:50:00,237.759394,1660.404417
201,PLAYER_690,2023-01-01 17:30:00,739.760159,4994.61372
202,PLAYER_690,2023-01-03 15:45:00,505.469882,3678.259996
203,PLAYER_690,2023-01-04 16:50:00,610.18822,4620.907369
204,PLAYER_690,2023-01-05 16:00:00,377.908756,2793.888818
205,PLAYER_690,2023-01-06 22:05:00,700.494645,5034.421528
206,PLAYER_690,2023-01-07 15:15:00,253.35244,1734.062899
207,PLAYER_690,2023-01-08 17:35:00,817.983058,5646.388123
208,PLAYER_690,2023-01-10 14:45:00,609.636072,4835.917007
209,PLAYER_690,2023-01-11 15:35:00,508.638242,3860.984391
210,PLAYER_690,2023-01-12 15:06:00,451.273651,3402.189585
211,PLAYER_690,2023-01-13 22:15:00,833.367261,6391.623306
212,PLAYER_690,2023-01-14 18:50:00,229.389,1553.332909
213,PLAYER_690,2023-01-17 15:15:00,539.421277,4055.8484
214,PLAYER_690,2023-01-18 14:50:00,561.321131,4155.381746
215,PLAYER_690,2023-01-19 13:00:00,405.133614,3098.746831
216,PLAYER_690,2023-01-20 21:30:00,796.356343,5479.962491
217,PLAYER_690,2023-01-21 23:50:00,225.096597,1528.637242
218,PLAYER_690,2023-01-24 14:58:00,514.989958,3841.082275
219,PLAYER_690,2023-01-25 15:00:00,343.822315,2632.777876
220,PLAYER_690,2023-01-26 22:10:00,881.221697,6516.295453
221,PLAYER_690,2023-01-27 18:10:00,319.78144,2213.558781
222,PLAYER_690,2023-01-28 15:00:00,357.232755,2717.061761
223,PLAYER_690,2023-01-29 16:20:00,809.71032,5869.469574
224,PLAYER_690,2023-01-31 12:50:00,411.537319,2463.353888
225,PLAYER_690,2023-02-02 14:41:00,546.772257,3828.048875
226,PLAYER_690,2023-02-03 15:14:00,476.502981,3553.856051
227,PLAYER_690,2023-02-04 18:04:00,462.624648,3465.209374
228,PLAYER_690,2023-02-05 16:30:00,672.578871,4821.37765
229,PLAYER_690,2023-02-07 14:44:00,519.06938,3843.540369
230,PLAYER_690,2023-02-08 15:05:00,363.831282,2687.772151
231,PLAYER_690,2023-02-09 22:35:00,887.811637,6814.488925
232,PLAYER_690,2023-02-11 15:18:00,394.61122,3012.5591
233,PLAYER_690,2023-02-12 16:30:00,749.383189,5546.934063
234,PLAYER_690,2023-02-15 14:48:00,554.780875,4056.006402
235,PLAYER_690,2023-02-16 13:18:00,372.89535,3011.084337
236,PLAYER_690,2023-02-17 22:30:00,875.589393,6360.740754
237,PLAYER_690,2023-02-18 20:44:00,322.088179,2168.077102
238,PLAYER_690,2023-02-19 17:30:00,885.970105,6528.533411
239,PLAYER_690,2023-02-20 14:50:00,333.75034,2286.360267
240,PLAYER_690,2023-02-22 14:50:00,599.159226,4550.495478
241,PLAYER_690,2023-02-23 15:00:00,382.59333,2909.39776
242,PLAYER_690,2023-02-24 22:10:00,880.153029,6568.016814
243,PLAYER_690,2023-02-25 20:10:00,282.143256,2136.492669
244,PLAYER_690,2023-02-26 17:30:00,817.396798,6291.825289
245,PLAYER_690,2023-02-28 14:33:00,379.298879,3020.531444
246,PLAYER_690,2023-03-01 15:03:00,365.141591,2769.028482
247,PLAYER_690,2023-03-02 22:20:00,882.181287,6372.24263
248,PLAYER_690,2023-03-03 20:40:00,264.23218,1837.945287
249,PLAYER_690,2023-03-04 19:25:00,796.41504,5691.066874
250,PLAYER_690,2023-03-06 16:35:00,327.350843,2268.407966
251,PLAYER_690,2023-03-07 14:50:00,448.702013,3309.053448
252,PLAYER_690,2023-03-08 13:59:30,379.324996,2881.934246
253,PLAYER_690,2023-03-09 23:35:00,851.232244,6064.427248
254,PLAYER_690,2023-03-10 23:30:00,735.287417,5889.979732
255,PLAYER_690,2023-08-28 11:50:00,186.927724,1462.674105
256,PLAYER_690,2023-08-28 16:50:00,232.964326,1648.742134
257,PLAYER_690,2023-08-29 16:40:00,387.225213,2191.080037
258,PLAYER_690,2023-08-30 11:50:00,154.369819,1024.731255
259,PLAYER_690,2023-08-30 16:50:00,399.952189,3261.766389
260,PLAYER_690,2023-08-31 16:30:00,413.65148,2536.844475
261,PLAYER_690,2023-09-01 11:50:00,215.51038,1617.981476
262,PLAYER_690,2023-09-01 16:45:00,540.042997,4579.278818
263,PLAYER_690,2023-09-05 11:50:00,224.308827,1766.577443
264,PLAYER_690,2023-09-06 11:50:00,166.008898,1101.625749
265,PLAYER_690,2023-09-06 16:50:00,798.240342,5986.691964
266,PLAYER_690,2023-09-08 11:50:00,237.963158,1845.654851
267,PLAYER_690,2023-09-08 16:50:00,778.516867,5873.845553
268,PLAYER_690,2023-09-11 11:50:00,227.469018,1707.126564
269,PLAYER_690,2023-09-12 17:30:00,559.539615,4234.931838
270,PLAYER_690,2023-09-13 11:50:00,172.615803,1136.380649
271,PLAYER_690,2023-09-13 17:00:00,0.189227,
272,PLAYER_690,2023-09-14 17:30:00,588.97771,4583.848975
273,PLAYER_690,2023-09-15 11:50:00,253.735089,2054.01498
274,PLAYER_690,2023-09-15 16:00:00,438.469287,2671.052224
275,PLAYER_690,2023-09-18 11:50:00,201.325177,1613.736296
276,PLAYER_690,2023-09-18 16:50:00,305.86343,2498.171654
277,PLAYER_690,2023-09-19 17:35:00,521.392385,3686.704362
278,PLAYER_690,2023-09-20 11:50:00,193.960451,1310.508059
279,PLAYER_690,2023-09-21 17:35:00,578.192105,4263.16587
280,PLAYER_690,2023-09-22 11:50:02,191.252504,1483.712678
281,PLAYER_690,2023-09-22 16:50:00,387.52288,2515.418121
282,PLAYER_690,2023-09-25 16:52:04,762.738452,5381.70462
283,PLAYER_690,2023-09-26 17:20:02,657.028714,4750.675694
284,PLAYER_690,2023-09-28 17:20:03,771.704775,5895.813342
285,PLAYER_690,2023-09-29 17:47:31,606.523362,4475.618335
286,PLAYER_690,2023-09-30 16:12:26,843.751704,6250.371158
287,PLAYER_690,2023-10-02 16:50:59,907.679274,6571.445631
288,PLAYER_690,2023-10-03 17:19:59,748.932759,5600.234937
289,PLAYER_690,2023-10-04 16:45:01,718.688543,4852.834272
290,PLAYER_690,2023-10-05 17:20:00,746.683149,5409.377478
291,PLAYER_690,2023-10-06 17:45:39,945.539498,6788.250064
292,PLAYER_690,2023-10-11 16:45:32,780.964255,5648.246726
293,PLAYER_690,2023-10-12 17:20:21,712.000127,4971.019795
294,PLAYER_690,2023-10-13 17:28:09,600.066406,4244.495231
295,PLAYER_690,2023-10-15 16:00:02,693.926276,4908.584859
296,PLAYER_690,2023-10-16 18:05:00,627.881457,4449.880727
297,PLAYER_690,2023-10-17 17:20:00,686.104416,4884.191369
298,PLAYER_690,2023-10-19 16:37:01,572.200531,3727.834283
299,PLAYER_690,2023-10-20 19:59:15,549.056898,4002.42742
300,PLAYER_690,2023-10-22 14:49:06,715.288011,5602.578672
301,PLAYER_690,2023-10-23 17:45:00,528.501406,3735.031876
302,PLAYER_690,2023-10-24 17:20:00,661.835358,4675.886084
303,PLAYER_690,2023-10-26 17:19:28,528.106968,3621.337544
304,PLAYER_690,2023-10-27 17:51:40,372.906277,2435.786668
305,PLAYER_690,2023-10-28 17:30:00,853.258295,6091.390142
306,PLAYER_690,2023-10-30 17:37:08,603.783756,4247.960025
307,PLAYER_690,2023-10-31 17:20:00,632.227585,4570.00408
308,PLAYER_690,2023-11-01 16:57:00,441.118771,3014.519115
309,PLAYER_690,2023-11-02 21:30:00,893.339972,6480.555376
310,PLAYER_690,2023-11-04 16:55:35,563.646248,4056.148833
311,PLAYER_690,2023-11-05 17:13:55,428.942622,3011.502218
312,PLAYER_690,2023-11-06 22:00:00,845.908744,6340.42242
313,PLAYER_690,2023-11-08 18:22:04,520.643701,3730.827326
314,PLAYER_690,2023-11-09 18:30:56,546.285191,4096.310403
315,PLAYER_690,2023-11-10 12:55:51,360.18701,2507.046332
316,PLAYER_690,2023-11-11 17:10:00,787.793555,5218.869331
317,PLAYER_690,2023-11-13 18:34:50,591.095046,4178.734779
318,PLAYER_690,2023-11-14 13:59:01,471.618993,3479.98276
319,PLAYER_690,2023-11-14 14:00:00,467.978853,3457.03358
320,PLAYER_690,2023-11-15 21:00:00,1023.926741,7111.434693
321,PLAYER_690,2023-11-17 19:30:51,682.313272,4798.586372
322,PLAYER_690,2023-11-18 15:11:42,380.153924,2678.166815
323,PLAYER_690,2023-11-19 16:30:00,907.388982,6574.054578
324,PLAYER_690,2023-11-20 19:25:00,444.005538,3085.227527
325,PLAYER_690,2023-11-21 18:39:30,343.27739,2409.376136
326,PLAYER_690,2023-11-22 15:30:00,762.40418,5207.411603
