,metric,playername,player_counter
242,accel_load_accum,PLAYER_593,119
243,accel_load_accum,PLAYER_063,118
244,accel_load_accum,PLAYER_1232,118
245,distance_total,PLAYER_648,118
246,distance_total,PLAYER_593,118
247,distance_total,PLAYER_063,117
248,accel_load_accum,PLAYER_497,116
249,distance_total,PLAYER_1171,115
250,accel_load_accum,PLAYER_183,114
251,accel_load_accum,PLAYER_1214,113
252,accel_load_accum,PLAYER_551,113
253,distance_total,PLAYER_551,113
254,accel_load_accum,PLAYER_361,112
255,distance_total,PLAYER_361,112
256,distance_total,PLAYER_1214,112
257,distance_total,PLAYER_1232,112
258,distance_total,PLAYER_497,112
259,distance_total,PLAYER_183,111
260,accel_load_accum,PLAYER_751,109
261,accel_load_accum,PLAYER_284,109
262,distance_total,PLAYER_284,109
263,accel_load_accum,PLAYER_1240,108
264,accel_load_accum,PLAYER_1120,108
265,distance_total,PLAYER_751,108
266,distance_total,PLAYER_1120,108
267,accel_load_accum,PLAYER_1191,107
268,distance_total,PLAYER_1240,107
269,accel_load_accum,PLAYER_1204,106
270,accel_load_accum,PLAYER_419,106
271,distance_total,PLAYER_1204,106
272,distance_total,PLAYER_419,106
273,distance_total,PLAYER_1191,106
274,accel_load_accum,PLAYER_544,105
275,distance_total,PLAYER_544,105
276,accel_load_accum,PLAYER_528,104
277,accel_load_accum,PLAYER_894,104
278,distance_total,PLAYER_528,104
279,distance_total,PLAYER_894,104
280,accel_load_accum,PLAYER_697,102
281,distance_total,PLAYER_697,102
282,accel_load_accum,PLAYER_965,101
283,distance_total,PLAYER_965,101
284,accel_load_accum,PLAYER_533,100
285,accel_load_accum,PLAYER_744,100
286,accel_load_accum,PLAYER_491,100
287,accel_load_accum,PLAYER_792,100
288,accel_load_accum,PLAYER_1003,100
289,distance_total,PLAYER_533,100
290,distance_total,PLAYER_744,100
291,distance_total,PLAYER_491,100
292,distance_total,PLAYER_792,100
293,distance_total,PLAYER_1003,100
294,accel_load_accum,PLAYER_032,98
295,accel_load_accum,PLAYER_653,98
296,distance_total,PLAYER_032,98
297,distance_total,PLAYER_653,98
298,accel_load_accum,PLAYER_1056,97
299,accel_load_accum,PLAYER_643,96
300,distance_total,PLAYER_643,96
301,distance_total,PLAYER_1056,96
302,distance_total,PLAYER_325,93
303,distance_total,PLAYER_645,91
304,accel_load_accum,PLAYER_390,90
305,accel_load_accum,PLAYER_325,89
306,distance_total,PLAYER_390,89
307,accel_load_accum,PLAYER_613,88
308,accel_load_accum,PLAYER_007,88
309,accel_load_accum,PLAYER_053,88
310,distance_total,PLAYER_613,88
311,distance_total,PLAYER_007,88
312,distance_total,PLAYER_053,88
313,accel_load_accum,PLAYER_645,87
314,accel_load_accum,PLAYER_854,86
315,accel_load_accum,PLAYER_455,86
316,distance_total,PLAYER_854,86
317,distance_total,PLAYER_455,86
318,distance_total,PLAYER_994,85
319,accel_load_accum,PLAYER_675,84
320,accel_load_accum,PLAYER_1089,83
321,distance_total,PLAYER_675,83
322,accel_load_accum,PLAYER_994,82
323,distance_total,PLAYER_1089,82
324,accel_load_accum,PLAYER_745,81
325,distance_total,PLAYER_745,81
326,accel_load_accum,PLAYER_375,80
327,distance_total,PLAYER_375,80
328,accel_load_accum,PLAYER_961,79
329,accel_load_accum,PLAYER_982,78
330,distance_total,PLAYER_982,78
331,accel_load_accum,PLAYER_860,77
332,distance_total,PLAYER_961,77
333,distance_total,PLAYER_860,76
334,accel_load_accum,PLAYER_896,75
335,distance_total,PLAYER_896,75
336,accel_load_accum,PLAYER_1083,74
337,distance_total,PLAYER_1083,72
338,distance_total,PLAYER_154,72
339,accel_load_accum,PLAYER_1267,71
340,accel_load_accum,PLAYER_490,70
341,accel_load_accum,PLAYER_052,70
342,accel_load_accum,PLAYER_747,70
343,accel_load_accum,PLAYER_1045,69
344,distance_total,PLAYER_490,69
345,distance_total,PLAYER_052,69
346,accel_load_accum,PLAYER_154,68
347,accel_load_accum,PLAYER_539,68
348,distance_total,PLAYER_1267,68
349,distance_total,PLAYER_747,68
350,accel_load_accum,PLAYER_1224,67
351,accel_load_accum,PLAYER_1104,67
352,distance_total,PLAYER_539,67
353,distance_total,PLAYER_1104,67
354,distance_total,PLAYER_1224,66
355,distance_total,PLAYER_1045,66
356,accel_load_accum,PLAYER_620,64
357,accel_load_accum,PLAYER_518,64
358,distance_total,PLAYER_518,64
359,accel_load_accum,PLAYER_131,63
360,accel_load_accum,PLAYER_227,62
361,accel_load_accum,PLAYER_494,62
362,distance_total,PLAYER_227,62
363,distance_total,PLAYER_620,62
364,accel_load_accum,PLAYER_606,61
365,distance_total,PLAYER_494,61
366,accel_load_accum,PLAYER_913,60
367,distance_total,PLAYER_131,60
368,accel_load_accum,PLAYER_285,59
369,accel_load_accum,PLAYER_740,59
370,distance_total,PLAYER_913,59
371,accel_load_accum,PLAYER_412,58
372,accel_load_accum,PLAYER_958,58
373,accel_load_accum,PLAYER_1116,58
374,distance_total,PLAYER_285,58
375,distance_total,PLAYER_412,58
376,distance_total,PLAYER_958,58
377,distance_total,PLAYER_740,58
378,accel_load_accum,PLAYER_616,57
379,distance_total,PLAYER_606,57
380,distance_total,PLAYER_616,57
381,distance_total,PLAYER_1116,57
382,accel_load_accum,PLAYER_099,56
383,accel_load_accum,PLAYER_1144,56
384,accel_load_accum,PLAYER_529,56
385,accel_load_accum,PLAYER_1036,56
386,distance_total,PLAYER_099,56
387,distance_total,PLAYER_1144,56
388,distance_total,PLAYER_1036,56
389,accel_load_accum,PLAYER_1050,55
390,distance_total,PLAYER_529,54
391,distance_total,PLAYER_1050,53
392,accel_load_accum,PLAYER_540,51
393,distance_total,PLAYER_540,51
394,accel_load_accum,PLAYER_008,50
395,accel_load_accum,PLAYER_1020,50
396,accel_load_accum,PLAYER_1282,50
397,accel_load_accum,PLAYER_051,50
398,accel_load_accum,PLAYER_473,50
399,accel_load_accum,PLAYER_1028,50
400,distance_total,PLAYER_1282,50
401,accel_load_accum,PLAYER_404,49
402,accel_load_accum,PLAYER_190,49
403,accel_load_accum,PLAYER_463,49
404,distance_total,PLAYER_008,49
405,distance_total,PLAYER_1020,49
406,distance_total,PLAYER_404,49
407,distance_total,PLAYER_190,49
408,distance_total,PLAYER_051,49
409,distance_total,PLAYER_463,49
410,distance_total,PLAYER_473,49
411,distance_total,PLAYER_1028,49
412,accel_load_accum,PLAYER_992,48
413,accel_load_accum,PLAYER_789,48
414,accel_load_accum,PLAYER_042,48
415,accel_load_accum,PLAYER_646,48
416,distance_total,PLAYER_992,48
417,distance_total,PLAYER_789,48
418,distance_total,PLAYER_042,48
419,distance_total,PLAYER_646,48
420,accel_load_accum,PLAYER_122,47
421,accel_load_accum,PLAYER_482,47
422,accel_load_accum,PLAYER_948,47
423,accel_load_accum,PLAYER_906,47
424,distance_total,PLAYER_122,47
425,accel_load_accum,PLAYER_1053,46
426,accel_load_accum,PLAYER_743,46
427,accel_load_accum,PLAYER_056,46
428,distance_total,PLAYER_1053,46
429,distance_total,PLAYER_743,46
430,distance_total,PLAYER_482,46
431,distance_total,PLAYER_948,46
432,distance_total,PLAYER_906,46
433,accel_load_accum,PLAYER_363,45
434,distance_total,PLAYER_056,45
435,distance_total,PLAYER_363,45
436,accel_load_accum,PLAYER_136,44
437,accel_load_accum,PLAYER_135,44
438,distance_total,PLAYER_136,44
439,accel_load_accum,PLAYER_600,43
440,accel_load_accum,PLAYER_1188,43
441,distance_total,PLAYER_1188,43
442,accel_load_accum,PLAYER_682,42
443,accel_load_accum,PLAYER_076,42
444,distance_total,PLAYER_282,42
445,distance_total,PLAYER_600,42
446,distance_total,PLAYER_076,42
447,accel_load_accum,PLAYER_1095,41
448,accel_load_accum,PLAYER_128,41
449,distance_total,PLAYER_682,41
450,distance_total,PLAYER_135,41
451,distance_total,PLAYER_1095,40
452,distance_total,PLAYER_128,40
453,accel_load_accum,PLAYER_282,39
454,accel_load_accum,PLAYER_1092,39
455,accel_load_accum,PLAYER_923,39
456,accel_load_accum,PLAYER_851,39
457,distance_total,PLAYER_1092,39
458,distance_total,PLAYER_923,39
459,distance_total,PLAYER_851,39
460,accel_load_accum,PLAYER_006,38
461,accel_load_accum,PLAYER_1015,37
462,accel_load_accum,PLAYER_158,37
463,distance_total,PLAYER_1015,37
464,distance_total,PLAYER_1129,37
465,distance_total,PLAYER_006,37
466,distance_total,PLAYER_158,37
467,accel_load_accum,PLAYER_760,36
468,distance_total,PLAYER_760,36
469,accel_load_accum,PLAYER_1129,35
470,accel_load_accum,PLAYER_1069,35
471,distance_total,PLAYER_1069,35
472,accel_load_accum,PLAYER_1058,34
473,accel_load_accum,PLAYER_343,34
474,distance_total,PLAYER_1058,34
475,leftMaxForce,PLAYER_256,34
476,leftMaxForce,PLAYER_216,34
477,leftTorque,PLAYER_256,34
478,leftTorque,PLAYER_216,34
479,rightMaxForce,PLAYER_256,34
480,rightMaxForce,PLAYER_216,34
481,rightTorque,PLAYER_256,34
482,rightTorque,PLAYER_216,34
483,distance_total,PLAYER_343,33
484,leftMaxForce,PLAYER_197,33
485,leftTorque,PLAYER_197,33
486,rightMaxForce,PLAYER_197,33
487,rightTorque,PLAYER_197,33
488,accel_load_accum,PLAYER_721,30
489,leftMaxForce,PLAYER_021,30
490,leftMaxForce,PLAYER_092,30
491,leftTorque,PLAYER_021,30
492,leftTorque,PLAYER_092,30
493,rightMaxForce,PLAYER_021,30
494,rightMaxForce,PLAYER_092,30
495,rightTorque,PLAYER_021,30
496,rightTorque,PLAYER_092,30
497,distance_total,PLAYER_721,29
498,accel_load_accum,PLAYER_846,28
499,accel_load_accum,PLAYER_1112,28
500,accel_load_accum,PLAYER_332,28
501,distance_total,PLAYER_846,28
502,distance_total,PLAYER_1112,28
503,distance_total,PLAYER_332,28
504,leftMaxForce,PLAYER_952,28
505,leftMaxForce,PLAYER_567,28
506,leftTorque,PLAYER_952,28
507,rightMaxForce,PLAYER_952,28
508,rightMaxForce,PLAYER_567,28
509,rightTorque,PLAYER_952,28
510,distance_total,PLAYER_1008,27
511,leftTorque,PLAYER_567,27
512,rightTorque,PLAYER_567,27
513,accel_load_accum,PLAYER_109,26
514,accel_load_accum,PLAYER_897,26
515,accel_load_accum,PLAYER_079,26
516,distance_total,PLAYER_109,26
517,distance_total,PLAYER_897,26
518,distance_total,PLAYER_079,26
519,leftMaxForce,PLAYER_171,26
520,leftMaxForce,PLAYER_093,26
521,leftTorque,PLAYER_171,26
522,leftTorque,PLAYER_093,26
523,rightMaxForce,PLAYER_171,26
524,rightMaxForce,PLAYER_093,26
525,rightTorque,PLAYER_171,26
526,rightTorque,PLAYER_093,26
527,leftMaxForce,PLAYER_719,25
528,leftTorque,PLAYER_719,25
529,rightMaxForce,PLAYER_719,25
530,rightTorque,PLAYER_719,25
531,accel_load_accum,PLAYER_1008,24
532,leftMaxForce,PLAYER_620,23
533,leftMaxForce,PLAYER_1129,23
534,leftMaxForce,PLAYER_575,23
535,leftTorque,PLAYER_620,23
536,leftTorque,PLAYER_1129,23
537,leftTorque,PLAYER_575,23
538,rightMaxForce,PLAYER_620,23
539,rightMaxForce,PLAYER_1129,23
540,rightMaxForce,PLAYER_575,23
541,rightTorque,PLAYER_620,23
542,rightTorque,PLAYER_1129,23
543,rightTorque,PLAYER_575,23
544,leftMaxForce,PLAYER_137,22
545,leftMaxForce,PLAYER_1114,22
546,leftMaxForce,PLAYER_755,22
547,leftMaxForce,PLAYER_342,22
548,leftTorque,PLAYER_137,22
549,leftTorque,PLAYER_1114,22
550,leftTorque,PLAYER_755,22
551,leftTorque,PLAYER_342,22
552,rightMaxForce,PLAYER_137,22
553,rightMaxForce,PLAYER_1114,22
554,rightMaxForce,PLAYER_755,22
555,rightMaxForce,PLAYER_342,22
556,rightTorque,PLAYER_137,22
557,rightTorque,PLAYER_1114,22
558,rightTorque,PLAYER_755,22
559,rightTorque,PLAYER_342,22
560,leftMaxForce,PLAYER_901,21
561,leftMaxForce,PLAYER_932,21
562,leftTorque,PLAYER_932,21
563,rightMaxForce,PLAYER_901,21
564,rightMaxForce,PLAYER_932,21
565,rightTorque,PLAYER_932,21
566,accel_load_accum,PLAYER_383,20
567,distance_total,PLAYER_383,20
568,leftMaxForce,PLAYER_1196,20
569,leftMaxForce,PLAYER_1128,20
570,leftMaxForce,PLAYER_1186,20
571,leftMaxForce,PLAYER_115,20
572,leftMaxForce,PLAYER_084,20
573,leftMaxForce,PLAYER_733,20
574,leftMaxForce,PLAYER_213,20
575,leftTorque,PLAYER_1196,20
576,leftTorque,PLAYER_901,20
577,leftTorque,PLAYER_1128,20
578,leftTorque,PLAYER_1186,20
579,leftTorque,PLAYER_115,20
580,leftTorque,PLAYER_084,20
581,leftTorque,PLAYER_733,20
582,leftTorque,PLAYER_213,20
583,rightMaxForce,PLAYER_1196,20
584,rightMaxForce,PLAYER_1128,20
585,rightMaxForce,PLAYER_1186,20
586,rightMaxForce,PLAYER_115,20
587,rightMaxForce,PLAYER_084,20
588,rightMaxForce,PLAYER_733,20
589,rightMaxForce,PLAYER_213,20
590,rightTorque,PLAYER_1196,20
591,rightTorque,PLAYER_901,20
592,rightTorque,PLAYER_1128,20
593,rightTorque,PLAYER_1186,20
594,rightTorque,PLAYER_115,20
595,rightTorque,PLAYER_084,20
596,rightTorque,PLAYER_733,20
597,rightTorque,PLAYER_213,20
598,leftMaxForce,PLAYER_617,19
599,leftMaxForce,PLAYER_286,19
600,leftTorque,PLAYER_617,19
601,rightMaxForce,PLAYER_617,19
602,rightMaxForce,PLAYER_286,19
603,rightTorque,PLAYER_617,19
604,accel_load_accum,PLAYER_585,18
605,distance_total,PLAYER_585,18
606,leftMaxForce,PLAYER_490,18
607,leftMaxForce,PLAYER_207,18
608,leftMaxForce,PLAYER_230,18
609,leftTorque,PLAYER_490,18
610,leftTorque,PLAYER_207,18
611,leftTorque,PLAYER_286,18
612,leftTorque,PLAYER_230,18
613,rightMaxForce,PLAYER_490,18
614,rightMaxForce,PLAYER_207,18
615,rightMaxForce,PLAYER_230,18
616,rightTorque,PLAYER_490,18
617,rightTorque,PLAYER_207,18
618,rightTorque,PLAYER_286,18
619,rightTorque,PLAYER_230,18
620,accel_load_accum,PLAYER_898,17
621,distance_total,PLAYER_898,17
622,leftMaxForce,PLAYER_1252,17
623,leftMaxForce,PLAYER_1094,17
624,leftMaxForce,PLAYER_051,17
625,leftMaxForce,PLAYER_572,17
626,leftTorque,PLAYER_1094,17
627,leftTorque,PLAYER_572,17
628,rightMaxForce,PLAYER_1252,17
629,rightMaxForce,PLAYER_1094,17
630,rightMaxForce,PLAYER_051,17
631,rightMaxForce,PLAYER_572,17
632,rightTorque,PLAYER_1094,17
633,rightTorque,PLAYER_572,17
634,accel_load_accum,PLAYER_017,16
635,accel_load_accum,PLAYER_1187,16
636,accel_load_accum,PLAYER_004,16
637,distance_total,PLAYER_017,16
638,distance_total,PLAYER_1187,16
639,distance_total,PLAYER_004,16
640,leftMaxForce,PLAYER_416,16
641,leftMaxForce,PLAYER_683,16
642,leftMaxForce,PLAYER_712,16
643,leftMaxForce,PLAYER_902,16
644,leftMaxForce,PLAYER_1077,16
645,leftMaxForce,PLAYER_427,16
646,leftMaxForce,PLAYER_182,16
647,leftTorque,PLAYER_416,16
648,leftTorque,PLAYER_1252,16
649,leftTorque,PLAYER_712,16
650,leftTorque,PLAYER_902,16
651,leftTorque,PLAYER_1077,16
652,leftTorque,PLAYER_051,16
653,leftTorque,PLAYER_182,16
654,rightMaxForce,PLAYER_416,16
655,rightMaxForce,PLAYER_683,16
656,rightMaxForce,PLAYER_712,16
657,rightMaxForce,PLAYER_902,16
658,rightMaxForce,PLAYER_1077,16
659,rightMaxForce,PLAYER_427,16
660,rightMaxForce,PLAYER_182,16
661,rightTorque,PLAYER_416,16
662,rightTorque,PLAYER_1252,16
663,rightTorque,PLAYER_712,16
664,rightTorque,PLAYER_902,16
665,rightTorque,PLAYER_1077,16
666,rightTorque,PLAYER_051,16
667,rightTorque,PLAYER_182,16
668,accel_load_accum,PLAYER_212,15
669,accel_load_accum,PLAYER_1032,15
670,distance_total,PLAYER_212,15
671,distance_total,PLAYER_1032,15
672,leftMaxForce,PLAYER_415,15
673,leftMaxForce,PLAYER_826,15
674,leftMaxForce,PLAYER_318,15
675,leftMaxForce,PLAYER_205,15
676,leftMaxForce,PLAYER_946,15
677,leftMaxForce,PLAYER_1249,15
678,leftMaxForce,PLAYER_320,15
679,leftMaxForce,PLAYER_1190,15
680,leftMaxForce,PLAYER_457,15
681,leftMaxForce,PLAYER_964,15
682,leftMaxForce,PLAYER_426,15
683,leftMaxForce,PLAYER_359,15
684,leftTorque,PLAYER_415,15
685,leftTorque,PLAYER_826,15
686,leftTorque,PLAYER_318,15
687,leftTorque,PLAYER_205,15
688,leftTorque,PLAYER_946,15
689,leftTorque,PLAYER_683,15
690,leftTorque,PLAYER_320,15
691,leftTorque,PLAYER_1190,15
692,leftTorque,PLAYER_457,15
693,leftTorque,PLAYER_964,15
694,leftTorque,PLAYER_427,15
695,leftTorque,PLAYER_359,15
696,rightMaxForce,PLAYER_415,15
697,rightMaxForce,PLAYER_826,15
698,rightMaxForce,PLAYER_318,15
699,rightMaxForce,PLAYER_205,15
700,rightMaxForce,PLAYER_946,15
701,rightMaxForce,PLAYER_1249,15
702,rightMaxForce,PLAYER_320,15
703,rightMaxForce,PLAYER_1190,15
704,rightMaxForce,PLAYER_457,15
705,rightMaxForce,PLAYER_964,15
706,rightMaxForce,PLAYER_426,15
707,rightMaxForce,PLAYER_359,15
708,rightTorque,PLAYER_415,15
709,rightTorque,PLAYER_826,15
710,rightTorque,PLAYER_318,15
711,rightTorque,PLAYER_205,15
712,rightTorque,PLAYER_946,15
713,rightTorque,PLAYER_683,15
714,rightTorque,PLAYER_320,15
715,rightTorque,PLAYER_1190,15
716,rightTorque,PLAYER_457,15
717,rightTorque,PLAYER_964,15
718,rightTorque,PLAYER_427,15
719,rightTorque,PLAYER_359,15
720,accel_load_accum,PLAYER_1011,14
721,accel_load_accum,PLAYER_196,14
722,accel_load_accum,PLAYER_334,14
723,accel_load_accum,PLAYER_1247,14
724,distance_total,PLAYER_1011,14
725,distance_total,PLAYER_196,14
726,distance_total,PLAYER_334,14
727,distance_total,PLAYER_1247,14
728,leftMaxForce,PLAYER_1133,14
729,leftMaxForce,PLAYER_255,14
730,leftMaxForce,PLAYER_1061,14
731,leftMaxForce,PLAYER_006,14
732,leftMaxForce,PLAYER_944,14
733,leftMaxForce,PLAYER_780,14
734,leftMaxForce,PLAYER_1155,14
735,leftMaxForce,PLAYER_845,14
736,leftMaxForce,PLAYER_732,14
737,leftTorque,PLAYER_1133,14
