,metric,metric_count
0,leftAvgForce,3722
1,leftMaxForce,3722
2,leftImpulse,3719
3,rightAvgForce,3719
4,rightMaxForce,3719
5,rightImpulse,3714
6,leftTorque,3679
7,rightTorque,3676
8,rightRepetitions,3662
9,leftRepetitions,3654
